Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
,33103,0,All off,Buffer,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
5.101 s,37553,4450,Person 1 All On,"On
24K BEGINS
(6220)",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
9.02 s,41478,3925,"Person 1 All Off (After doing explosion)
Person 3 and 4 All On","P1 After (Done)
P34 On",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,41578,100,,"P1 from above
100 here.",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
12.379 s,44943,3365,P12 Legs On P34 Legs Off,"On
-100 from previous cue
+100 from GARY",BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0
 ,45148,205,P12 Torso (No P) On P34 Torso (No P) Off,-40 GARY,,0,0,1,1,1,1,0,0,,0,0,1,1,1,1,0,0,,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,1,0
12.862 s,45318,170,P12 Arms On P34 Arms Off,-40 FROM GARY,NO_Ps,,,,,,,,,NO_Ps,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
13.297 s,45754,436,P12 P On P34 P Off,-20 FROM GARY,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,48107,2353,P12 Turn off before. Cue from below,P12 Before - Dhayaa,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
"15.63



17.44 s",48207,100,"P4 All On
P12 All Off","P4 On
P12 Before (Done)",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
17.97s,50350,2143,P134 Arms On,"Before
-100 from this cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,53254,2904,,Plus 100 from Cell,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
24.4s,56899,3645,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
24.712s,57179,280,P4 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,57249,70,P4 Off P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,57319,70,P1 Off P3 On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,57389,70,P3 Off P2 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
25.28,57740,351,P2 Off P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,57810,70,P3 Off P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,57880,70,P1 Off P4 On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,57950,70,P4 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
25.85s,58301,351,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
26.4 s,58861,560,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
28.04,60544,1683,"P13 Off
P24 On",On,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
29.19,61665,1121,"P13 On
P24 Off",On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
30.59,63067,1402,"P13 Legs Off
P24 Legs On",On,,1,1,0,0,1,1,1,0,BOTH_LEGS,,,,,,,,,,1,1,0,0,1,1,1,0,BOTH_LEGS,,,,,,,,
,63137,70,"P13 Bottom Torso Off
P24 Bottom Torso On",,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0
,63207,70,"P13 P and Head Off
P24 P and Head On",,,1,1,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,,1,1,0,0,0,0,0,0,,0,0,1,1,1,1,1,0
,63277,70,"P13 Arms Off
P24 Arms On",,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,65701,2424,P24 Off Except Arms,P24 Before (Done!),ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
33.39,65801,100,"
P3 All On","
P3 On",ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,BOTH_ARMS,,,,,,,,
34.93,67483,1682,P24 All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
35.49,68114,631,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
36.8,69410,1296,P4 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
38.1,70637,1227,P2 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
39.58,71939,1302,All Top Off,On,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,
39.84,72219,280,All Bottom Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
40.12,72500,281,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
40.4,72780,280,P4 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
40.71,73061,281,P2 On,On,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
40.96,73341,280,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
41.26,73621,280,P1 Off,On,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,73902,281,P2 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,74182,280,P4 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,74287,105,P3 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,75934,1647,P1 All On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
43.76,76145,211,"
P23 Upper On","
On",ALL_ON_Yel_P,,,,,,,,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,ALL_OFF,,,,,,,,
44.34,76705,560,P23 Lower On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
45.47,77827,1122,P4 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
48,80350,2523,P4 Off,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
53.608,86023,5673,P1 Off,"After
+100 due to this cell",ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
1 0.37,92406,6383,All Off,"On
-100 due to prev cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 0.59,92967,561,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
1 1.15,93528,561,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
1 1.726,94088,560,P2 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
1 2.25,94649,561,P4 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 2.55,94789,140,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 2.846,95210,421,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,95350,140,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,95490,140,P2 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,95631,141,P4 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 6.2,98575,2944,"P23 Legs Off
P14 Head/Arms Off ",On,,0,0,1,1,0,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,0,0,1,1,0,1,1,0
1 6.5,98802,227,P1234 Torso Off,On,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,,1,1,0,0,1,0,0,0,BOTH_LEGS,,,,,,,,
1 6.72,99135,333,"P23 Head/Arms Off
P14 Legs Off",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 7.15,99521,386,"P23 Arms On
P14 Legs On",On,BOTH_LEGS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_LEGS,,,,,,,,
,99556,35,"P23 P and Head On
P14 Bottom Torso On",,,0,0,1,1,0,1,0,0,,1,1,0,0,1,0,1,0,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0
,99591,35,"P23 Bottom Torso On
P14 P and Head On",,,0,0,1,1,1,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,0,0,1,1,1,1,1,0
,99626,35,"P23 Legs On
P14 Arms On",,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 11.2,103621,3995,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 11.788,104182,561,P3 On,Before? (Haven't worked on this),ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,104743,561,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,105303,560,P2 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,105864,561,P4 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 15.19,107546,1682,All Arms Off,On,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0
,107757,211,All P and Head Off,,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0
,107932,175,All Lower Torso Off,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,
,108247,315,All Legs Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 16.34,108668,421,All Flash Lights but end off,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,108768,100,Flash Off,100 here,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 17.7,109949,1181,"P13 On at ""Look","Before
-50 from this cell
-100 from prev cell",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,110160,211,"P24 On at ""Out""","Before
-50 from this cell
+50 from prev cell",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 18.55,110910,750,P123 Off,"On
+50 from prev cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 19.66,112028,1118,All On,Before (Will do this on aggregate doc),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
6.996,113389,1361,"P3 Legs On
","On
TEN FEET BEGINS",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,,ALL_OFF,,,,,,,,
,113880,491,P4 Legs On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,
7.973,114362,482,"P34 Off
P12 Mid Bottom Fourth On",On,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
8.179,114603,241,"P34 Mid Top Fourth On
P12 Off",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,0,0,1,0,1,0,,0,0,0,0,1,0,1,0
8.539,114963,360,"P12 Top Fourth On
P34 Off",On,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
8.899,115262,299,P12 Arms On,On,,1,1,0,0,1,0,0,0,,1,1,0,0,1,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,115501,239,P12 Torso P and Head On,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,115740,239,P12 Legs On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
13.838,120087,4347,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
14.325,120751,664,P3 Left Arm On,"Before
-50 from this cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
14.815,121168,417,P2 Left Arm,"Before
- 50 from this cell
+50 from prev. cell",ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
15.278,121704,536,P1 Left Arm,"Before
- 50 from this cell
+50 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
15.69,122001,297,P4 Left Arm,"Before
- 50 from this cell
+50 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0
16.2,122537,536,P4 Right Arm,"Before
- 50 from this cell
+50 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
16.719,123013,476,P1 Right Arm,"Before
- 50 from this cell
+50 from prev. cell",BOTH_ARMS,,,,,,,,,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
16.719,123549,536,P2 Right Arm,"Before
- 50 from this cell
+50 from prev. cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
17.645,123906,357,P3 Right Arm,"Before
- 50 from this cell
+50 from prev. cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,
25.772,132944,9038,P4 Arms Off,"After? (Have not done this yet)
+50 from prev cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,133182,238,P1 Arms Off,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,133420,238,P2 Arms Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,133718,298,P3 Arms Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
27.881,134125,407,P14 All On,"Before
-10 from this cell",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
28.441,134601,476,"P23 All On
P14 All Off","Before
-10 from this cell
+10 from prev cell",ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
35.392,141754,7153,P23 Turn off fourths at each syllable start from btm,On,ALL_OFF,,,,,,,,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,ALL_OFF,,,,,,,,
,142230,476,P23 Lower Torso Off,,ALL_OFF,,,,,,,,,,1,1,0,0,1,0,1,0,,1,1,0,0,1,0,1,0,ALL_OFF,,,,,,,,
,142706,476,P23 P and Arms Off,,ALL_OFF,,,,,,,,,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,ALL_OFF,,,,,,,,
,143182,476,P23 Head Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
37.5,143827,645,P14 On,"Before
(-10 from this cell)",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
41.256,147587,3760,All On,"On
(+10 from prev cell)",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
44.8,151278,3691,P3 Right Arm On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,151754,476,"P3 Right Arm Off
P2 Right Arm On",,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,152230,476,"P2 Right Arm Off
P4 Left Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0
,152706,476,"P4 Left Arm Off
P1 Left Arm On",,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,153182,476,"P1 Left Arm Off
P3 Right Arm On",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,153420,238,"P3 Right Arm Off
P2 Right Arm On",,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,153658,238,"P2 Right Arm Off
P4 Left Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0
,153896,238,"P4 Left Arm Off
P1 Left Arm On",,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,154134,238,"P1 Left Arm Off
P3 Right Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,154372,238,"P3 Right Arm Off
P2 Right Arm On",,ALL_OFF,,,,,,,,,,0,1,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,154610,238,"P2 Right Arm Off
P4 Left Arm On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0
,154848,238,"P4 Left Arm Off
P1 Left Arm On",,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
48.4,155087,239,"P1 Arms Off
P3 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,155325,238,"P3 Arms Off
P2 Arms On",,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,155563,238,"P2 Arms Off
P4 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
,155801,238,"P4 Arms Off
P1 Arms On",,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,156039,238,"P1 Arms Off
P3 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,156277,238,"P3 Arms Off
P2 Arms On",,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,156515,238,"P2 Arms Off
P4 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
