Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
,156753,238,"P4 Arms Off
P1 Arms On",,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
50.61,156992,239,"P1 Arms Off
P3 Arms On",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,157111,119,"P3 Arms Off
P2 Arms On",,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,157230,119,"P2 Arms Off
P4 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
,157349,119,"P4 Arms Off
P1 Arms On",,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,157468,119,"P1 Arms Off
P3 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,157587,119,"P3 Arms Off
P2 Arms On",,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,157706,119,"P2 Arms Off
P4 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
,157825,119,"P4 Arms Off
P1 Arms On",,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,157944,119,All lights off (Dhayaa),On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,158182,238,"?? Flash? - Dhayaa
Added this cue in case we wanted to use it.
Can just ignore and leave as ""ALL OFF"".",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,158420,238,?? Flash? - Dhayaa,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,158658,238,?? Flash? - Dhayaa,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,158897,239,All Flash (P3 Stays On After),On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,158997,100,,100 from this cell,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
54.17,160563,1566,P4 On (Bottom Half then Top Half based on Beat),"On
- 100 from prev cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,BOTH_LEGS,,,,,,,,
,160682,119,Top half,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
56.07,162468,1786,P1 On (Bottom Half then Top Half based on beat,On,BOTH_LEGS,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,162587,119,Top half,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
58.18,164611,2024,"P4 Top Fouth Off
P2 Top Fourth On",On,ALL_ON_Yel_P,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,,0,0,1,1,1,1,1,0
58.644,165087,476,"P1 Top Mid Fourth Off
P2 Top Mid Fourth On",On,,1,1,1,1,0,1,0,0,,1,1,0,0,1,0,1,0,ALL_ON_Yel_P,,,,,,,,,,0,0,1,1,1,1,1,0
59.1,165563,476,"P4 Bottom Mid Fourth Off
P2 Bottom Mid Fourth On",On,,1,1,1,1,0,1,0,0,,1,1,0,0,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,,0,0,1,1,1,0,1,0
59.878,166039,476,"P1 Bottom Fourth Off
P2 Bottom Fourth On",On,,1,1,0,0,0,1,0,0,,1,1,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,,0,0,1,1,1,0,1,0
1 min .341s,166754,715,All On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 min 4.56s,170563,3809,P134 Off,On,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 min 5.9s,172230,1667,"P1 All On Except Arms
P4 Legs On",On,,0,0,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,
,172289,59,"P1 Head and P Off
P4 Lower Torso On",,,0,0,1,1,0,1,0,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,0,1,0,0
,172349,60,"P1 Lower Torso Off
P4 Head and P On",,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,1,1,1,0
,172408,59,"P1 All Off
P4 All On",,ALL_OFF,,,,,,,,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,172468,60,"P4 Arms Off
P1 Legs On",,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,1,1,1,0
,172527,59,"P4 Head and P Off
P1 Lower Torso On",,,0,0,1,1,0,1,0,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,0,1,0,0
,172587,60,"P4 Lower Torso Off
P1 Head and P On",,,0,0,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,
,172646,59,"P4 All Off
P1 All On",,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,172706,60,"P1 Arms Off
P4 Legs On",,,0,0,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,
,172736,30,"P1 Head and P Off
P4 Lower Torso On",,,0,0,1,1,0,1,0,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,0,1,0,0
,172766,30,"P1 Lower Torso Off
P4 Head and P On",,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,1,1,1,0
,172796,30,"P1 All Off
P4 All On",,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,172825,29,"P4 Arms Off
P1 Legs On",,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,1,1,1,0
,172884,59,"P4 Head and P Off
P1 Lower Torso On",,,0,0,1,1,0,1,0,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,0,1,0,0
,172944,60,"P4 Lower Torso Off
P1 Head and P On",,,0,0,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,
,173003,59,"P4 All Off
P1 All On",,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,173063,60,"P1 Arms Off
P4 Legs On",,,0,0,1,1,1,1,1,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_LEGS,,,,,,,,
,173122,59,"P1 Head and P Off
P4 Lower Torso On",,,0,0,1,1,0,1,0,0,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,0,1,0,0
,173182,60,"P1 Lower Torso Off
P4 Head and P On",,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,1,1,1,1,1,0
,173241,59,"P1 All Off
P4 All On",,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,173301,60,,"Double Check in
Meeting

Current settings from
176-179
are temporary.",ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,173330,29,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,173360,30,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,173390,30,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 min 7 sec,173420,30,All On,On? (Have not worked on this yet),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,174135,715,All of (Bass Drop),,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
0,175965,2545,All On,K/DA BEGINS,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
5.6,178787,2822,P234 Off,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
6.7,179846,1059,P1 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,179946,100,P1 On,Flicker(100),ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
7.1,180199,253,P4 On,-100 from above,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
8.08,181258,1059,P4 Off,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,181358,100,P4 On,Flicker(100),ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
8.82,181964,606,P23 On,-100 from above,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
9.65,182670,706,All Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
10.27,183375,705,"P14 Arms On,
P2 Green P On",,BOTH_ARMS,,,,,,,,,Just_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
10.45,183552,177,"P2 Green P Off
P2 Red P On",,BOTH_ARMS,,,,,,,,,Just_Red_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
10.63,183729,177,"P2 Green P On
P2 Red P Off",,BOTH_ARMS,,,,,,,,,Just_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
10.97,184151,422,"P124 Off
P3 On",After (+70),ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
15.57,188670,4519,"P3 Legs Off
P4 Legs On",(-70 due to above),ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,1,0,0,1,1,1,0,,0,0,1,1,0,0,0,0
,189023,353,"P3 Body/P Off
P4 Body/P On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,1,0,0,1,0,0,0,,0,0,1,1,0,1,1,0
,189375,352,"P3 Arms Off
P4 Arms On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,0,0,0,0,1,0,0,0,,1,1,1,1,0,1,1,0
,189728,353,"P3 Head Off
P4 Head On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,194317,4589,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,194670,353,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,195023,353,P2 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,195376,353,P3 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
22.63,195729,353,P34 Off,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
31.47,204552,8823,All Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
32.53,205611,1059,P3 On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
32.83,205964,353,P2 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
33.2,206317,353,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
33.52,206670,353,P4 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
33.75,207023,353,"P3 on, everyone else off",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
34.07,208434,1411,P2 Arms On,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
35.37,209846,1412,P1 Arms On,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
36.72,211258,1412,P4 Arms On,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,BOTH_ARMS,,,,,,,,
41,214071,2813,"P234 Arms Off
P234 Legs On",Before (-10),BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,BOTH_LEGS,,,,,,,,
42.39,215483,1412,All On,"Before (-10) and 
(+10 due to previous)",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
43.83,216905,1422,All Off,(+10 due to above),ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
45.2,218317,1412,P2 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
46.63,219729,1412,P3 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
48.05,221140,1411,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
49.45,222552,1412,P4 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
52.28,225375,2823,P12 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
52.82,226081,706,P34 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
53.7,226787,706,P1234 Flicker,,Just_RightArm,,,,,,,,,Just_Red_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_RightLeg,,,,,,,,
,226964,177,,,Just_Yel_P,,,,,,,,,Just_LeftArm,,,,,,,,,Just_RightArm,,,,,,,,,Just_LeftArm,,,,,,,,
,227141,177,,,,0,0,0,1,0,1,0,0,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,Just_Red_P,,,,,,,,
,227318,177,,,ALL_OFF,,,,,,,,,Just_RightLeg,,,,,,,,,Just_LeftArm,,,,,,,,,ALL_OFF,,,,,,,,
,227495,177,,,Just_LeftArm,,,,,,,,,,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Just_LeftArm,,,,,,,,
,227672,177,,,ALL_OFF,,,,,,,,,Just_LeftLeg,,,,,,,,,,1,0,1,0,0,0,1,0,ALL_OFF,,,,,,,,
,227849,177,,,Just_RightArm,,,,,,,,,Just_Yel_P,,,,,,,,,Just_LeftArm,,,,,,,,,,0,0,0,0,0,1,0,0
,228026,177,,,,0,1,0,0,1,0,0,0,Just_RightArm,,,,,,,,,Just_LeftLeg,,,,,,,,,Just_Yel_P,,,,,,,,
,228203,177,,,Just_Yel_P,,,,,,,,,,0,0,0,0,0,1,0,0,ALL_OFF,,,,,,,,,Just_LeftLeg,,,,,,,,
,228380,177,,,Just_LeftArm,,,,,,,,,Just_Red_P,,,,,,,,,Just_RightArm,,,,,,,,,,0,0,0,0,0,1,0,0
,228557,177,,,Just_RightLeg,,,,,,,,,Just_RightLeg,,,,,,,,,,0,0,0,0,0,1,0,0,Just_Red_P,,,,,,,,
,228734,177,,,Just_Yel_P,,,,,,,,,,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
,228911,177,,,ALL_OFF,,,,,,,,,Just_Yel_P,,,,,,,,,,0,0,0,0,1,0,0,1,,0,1,0,0,0,0,1,0
,229088,177,,,Just_LeftArm,,,,,,,,,ALL_OFF,,,,,,,,,Just_LeftLeg,,,,,,,,,Just_LeftLeg,,,,,,,,
,229265,177,,,Just_RightLeg,,,,,,,,,Just_LeftArm,,,,,,,,,Just_RightArm,,,,,,,,,,1,0,0,0,0,1,0,0
56.53,229390,125,All Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
56.83,229964,574,P1 P On,,Just_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,230317,353,"P1 P Off
P3 P On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,Just_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,230669,352,"P3 P Off
P2 P On",,ALL_OFF,,,,,,,,,Just_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,231022,353,"P2 P Off
P4 P On",,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,Just_Yel_P,,,,,,,,
58.28,231375,353,All Ps Red,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,
,231552,177,All P Yellow,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
,231729,177,All P Red,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,
,231906,177,All P Yellow,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
,232083,177,All P Red,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,
,232260,177,All P Yellow,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
,232437,177,All P Red,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,
59.7,232611,174,All On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 10.64,243729,11118,"All Lights from bottom to top
Layered turn off",,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,1
,243905,176,,,,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,1,0
,244082,177,,,,1,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0
,244258,176,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
,244435,177,Turn on,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,245140,705,,Get,,1,1,0,0,1,1,1,0,,1,1,1,1,0,1,0,0,,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0
,245405,265,,It,,1,1,1,1,1,0,1,0,,0,0,1,1,1,1,1,0,,1,1,1,1,0,1,0,0,,1,1,0,0,1,1,1,0
,245670,265,,Get,,1,1,1,1,0,1,0,0,,1,1,0,0,1,1,1,0,,0,0,1,1,1,1,1,0,,1,1,1,1,1,0,1,0
,245837,167,,It (-10 cause below),,0,0,1,1,1,1,1,0,,1,1,1,1,1,0,1,0,,1,1,0,0,1,1,1,0,,1,1,1,1,0,1,0,0
,245887,50,,"TURN ALL On
Flicker on (50)",ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 13.45,246552,665,All Lights from top to bottom off,-50 from above cell,,1,1,1,1,0,1,1,0,,1,1,1,1,0,1,1,0,,1,1,1,1,0,1,1,0,,1,1,1,1,0,1,1,0
,246729,177,,,,0,0,1,1,0,1,1,0,,0,0,1,1,0,1,1,0,,0,0,1,1,0,1,1,0,,0,0,1,1,0,1,1,0
,246905,176,,,,0,0,1,1,0,0,0,0,,0,0,1,1,0,0,0,0,,0,0,1,1,0,0,0,0,,0,0,1,1,0,0,0,0
,247082,177,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,247258,176,,Turn On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,247964,706,Light Cue???,In (think),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,248229,265,,It (think),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,248493,264,,In (think),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,248670,177,,It (think),ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,255023,6353,,,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
,256787,1764,Flicker (off),"Red P moves?
Talk about at meeting",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,256876,89,Flicker (on),,Just_Red_P,,,,,,,,,Just_Red_P,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
,258552,1676,Full off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,